သမ္မ ၁ (ဗျ),[ သမု +  မ။ သမ + မ။ သောမ+ဏျ၊ သောမော ဒေဝတာ ယဿ၊ သောမဿ ဝါဣဒံ။ ကပ္ပဒ္ဒုမ။ သော်မျ-သံ။ ],အိုမိတ်ဆွေ ၊ အိုသူငယ်ချင်း။ ,
သမ္မ ၂ (ပု၊န),[ သမု + မ။ ဏွာဒိ။ ၁၃၆။ သမ + မ။ ဓာန်၊ ဋီ။ ၁၄၂။ ၐမျ-သက္ကတပိဋက။ ],"(၁) (ရှားအစရှိသည်ဖြင့်ပြီးသော) လက်ချပ်ခွက်ခွင်း။ (ဇာ၊ဋ္ဌ၊ ၇။ ၁၇၆-သျ)။ (၂) (မောင်း, ကြေးနင်းစသော) ကြေးဖြင့်ပြုလုပ်အပ်သော တူရိယာ။ (၃) (မောင်း,ကြေးနင်းစသော) ကြေးဖြင့်ပြုလုပ်အပ်သောတူရိယာ၊ (ဝါးလက်ခုပ်စသော) သစ်သားဖြင့်ပြုလုပ်အပ်သော တူရိယာ။ (၄) ဆင်စွယ်ဖြင့်ပြုလုပ်အပ်သောတူရိယာ။",
သမ္မ ၃ (ဗျ),[ သမ္မာ = သံ + ယဒ် + သမျဒ် = သမ္မဒ်?။ သမျစ်=သမျဥ္စ-သံ။ ပါကတ-သမ္မံ။ သမာသ်တွဲရာ၌ သာတွေ့ရသည်၊ သမ္မပ္ပဓာန၊ သမ္မပ္ပဇာ-နာတိ၊ သမ္မဒညာ-စသည်။ ],သမ္မာ-ကြည့်။,
သမ္မက္ခဏ (န),[ သံ + မက္ခ + ယု။ သမ္မြက္မဏ-သံ။ ],သမ္မက္ခန - ကြည့်။,
သမ္မက္ခန (တိ),[ သံ + မက္ခ + ယု။နီတိ ၊ ဓာတု။ ၂၈၆။ သံ + မြက္မဏ-သံ ],အလုံးစုံအားဖြင့်-လူးလဲ-လိမ်းကျံ-ပေရေ-သော။ (န) (၂) အလုံးစုံအားဖြင့်-လူးလဲ-လိမ်းကျံ-ပေရေ-ခြင်း။,
သမ္မက္ခနမနသိကာရ (ပု),[ သမ္မက္ခန + မနသိကာရ ],သမ္မက္ခနအားဖြင့် နှလုံးသွင်းခြင်း၊ အလုံးစုံ-လူးလဲ-လိမ်းကျံ-ပေရေ-ခြင်းအားဖြင့် နှလုံးသွင်းခြင်း။,
သမ္မက္ခိတ ၁ (တိ),[ သံ + မက္ခ + တ။ နီတိ၊ ဓာတု။ ၂၈၄။ သမ္မြက္မိတ-သံ။ ],(၁) အလုံးစုံအားဖြင့် - အခြင်းခပ်သိမ်း-လည်း-လူးလည်း-လိမ်းကျံ-ပေရေ-သော။ (၂) အလုံးစုံအားဖြင့်-အခြင်းခပ်သိမ်း-လိမ်းကျံအပ်သော။,
သမ္မက္ခိတ ၂ (တိ),[ သမ္မက္ခိတ + ဏ ],အလုံးစုံအားဖြင့်-အခြင်းခပ်သိမ်း-လိမ်ကျံအပ်သော ကိုယ်ရှိသော၊ သူ။,
သမ္မက္ခိတသရီရ (တိ),[ သမ္မက္ခိတ + သရီရ ],သမ္မက္ခိတ ၂ - ကြည့်။,
သမ္မက္ခေတိ (ကြိ),[ သံ + မက္ခ + ဏေ + တိ။ နီတိ၊ ဓာတု။ ၂၈၄။ သမ္မြက္မယတိ-သံ။ ],အလုံးစုံအားဖြင့်-အခြင်းခပ်သိမ်း-လူးလဲလိမ်းကျံ-ပေရေ-၏။,
သမ္မဂ္ဂတ (တိ),[ သမ္မာ (သမ္မဒ်) + ဂတ။ သမ္မ ၃ - ကြည့်။ သမျဂ္ဂတ-သက္ကတ။ ],(၁) ကောင်းစွာ ကျင့်ကြံသော၊ သူ။ (၂) ကောင်းမြတ်သော တရား (အရဟတ္တဖိုလ်) သို့ ရောက်ပြီးသော၊ သူ။ (၃) ကောင်းမြတ်သော (အနုလောမပဋိပဒါ) အကျင့်ကို ကျင့်ကြံသော၊ သူ။,
သမ္မဇ္ဇ (န),[ သံ + မဇ္ဇ + အ။ သမ္မဒ္ဒ-ဏျ။ သံမာင်္ဇ-သံ။ (ပု) သံမဇ္ဇ-ပြာ။ (န) အဒ္ဓမာဂဓီ။ ],(၁) တံမြက်စည်း။ (၂) ပွဲလမ်းသဘင် =(လူအပေါင်း၌ ပြုအပ်သောပွဲ။),
သမ္မဇ္ဇတိ (ကြိ),[ သံ + မဇ္ဇ + အ + တိ။နီတိ၊ ဓာတု။ ၄၇။ သမ်မsဇတိ-သံ။ ],(၁) တံမြက်လှည်း၏။ (၂) သုတ်သင်-ပွတ်တိုက်-၏။,
သမ္မဇ္ဇထ (ကြိ),[ သံ + မဇ္ဇ + အ + ထ ],(သင်တို့) တံမြက်လှည်းကုန်၏။,
သမ္မဇ္ဇဒဿနုဿဝ (ပု),[ သမ္မဇ္ဇ + ဒဿန + ဥဿဝ ],လူးအပေါင်း၌ကြည့်ခြင်းအကျိုးငှာ ပြုအပ်သော ပွဲလမ်းသဘင်။,
သမ္မဇ္ဇန (ထီ၊န),[ သံ + မဇ္ဇ + ယု။နီတိ၊ ဓာတု။ ၄၇။ သံ + မုဇိ + ယု။ ဓာန်၊ ဋီ။ ၂၂၃။ (န) သမ္မာင်္ဇန-သံ။ သံမဇ္ဇဏ-ပြာ၊ အဒ္ဓမာဂဓီ။ ],(၁) တံမြက်လှည်း-သုတ်သင်-ရှင်းလင်း-ပွတ်တိုက်-ခြင်း။ (၂) တံမြက်လှည်းတတ်သော၊ သူ။ (၃) တံမြက်လှည်းရာ-အချိန်-အခါ-အရပ်-ဌာန။ (၄) တံမြက်စည်း။,
သမ္မဇ္ဇနဥပလေပန (န),[ သမ္မဇ္ဇန + ဥပလေပန ],တံမြက်လှည်း-ကပ်၍ လိမ်းကျံ-ခြင်း။,
သမ္မဇ္ဇနက (တိ),[ သမ္မဇ္ဇန + က ] ,တံမြက်လှည်းသော။ သမ္မဇ္ဇနကဝါတ-ကြည့်။,
သမ္မဇ္ဇနကဝါတ (ပု),[ သမ္မဇ္ဇနက + ဝါတ ] ,တံမြက်လှည်းသောလေ။,
သမ္မဇ္ဇနကာလ (ပု),[ သမ္မဇ္ဇန + ကာလ ] ,တံမြက်လှည်းရာအခါ။,
သမ္မဇ္ဇနဋ္ဌာန (န),[ သမ္မဇ္ဇန + ဌာန ] ,တံမြက်လှည်းရာ-အရပ်-ဌာန။,
